search_keyword,rank,url,final_url,fetch_status,title,h1,h2,meta_description,image_alt,serp_source_url,collection_date
dumbbell,1,https://www.amazon.com/dumbbells/s?k=dumbbells,https://www.amazon.com/dumbbells/s?k=dumbbells,ok,Amazon.com : dumbbells,,"Skip to | Keyboard shortcuts | 1-48 of over 4,000 results for ""dumbbells"" | Results | Amazon Basics Neoprene Dumbbell Hand Weights for Exercise and Muscle Toning | More results | FITPLAM Adjustable dumbbell set,20/35/45/55/70/90lbs Free Weights set with upgraded nut, 5 in 1 Weight Set Used as Kettlebells, Barbell, Push up Stand, Fitness Exercise for Home Gym Suitable Men/Women | FF Finer Form 5-in-1 Weight Bench, Adjustable & Foldable for Bench Press, Strength Training and Full Body Workout, Perfect for Dumbbell Sets or an Adjustable Dumbbell Set in Your Home Gym | CAP Barbell Coated Hex Dumbbell Weight - Single | 10-120 lbs | Multiple Options | Amazon Basics Rubber Hex Dumbbell Hand Weight | 2026 Upgrade Adjustable Dumbbell Set 25lb/50lb, Small Increment in 3-6lb, 1 Hand Quick-Dial, 10-in-1 Adjustable Dumbbells with Tray, Anti-Slip Grip for Home Gym HIIT Strength Training | Adjustable Dumbbells, 20/30/45/70/90lbs Free Weight Set with Connector,5 in1 Dumbbells Set Used as Barbell,Kettlebells,Push up Stand,Fitness Exercises for Home Gym Suitable Men/Women",,"Amazon Basics Neoprene Dumbbell Hand Weights for Exercise and Muscle Toning | FITPLAM Adjustable dumbbell set,20/35/45/55/70/90lbs Free Weights set with upgraded nut, 5 in 1 Weight Set Used as Kettleb... | FF Finer Form 5-in-1 Weight Bench, Adjustable & Foldable for Bench Press, Strength Training and Full Body Workout, Perfect... | CAP Barbell Coated Hex Dumbbell Weight - Single | 10-120 lbs | Multiple Options | Amazon Basics Rubber Hex Dumbbell Hand Weight | 2026 Upgrade Adjustable Dumbbell Set 25lb/50lb, Small Increment in 3-6lb, 1 Hand Quick-Dial, 10-in-1 Adjustable Dumbbells ... | UNNMIIY Adjustable Dumbbells, 20/30/45/70/90lbs Free Weight Set with Connector,5 in1 Dumbbells Set Used as Barbell,Kettleb... | Amazon Basics Adjustable Dumbbell Hand Weight Set with Storage Case, Portable, Secure, 38 Pounds, Black | Amazon Basics Adjustable Dumbbell, 25 lb | Fit Sir Adjustable Dumbbell Set, 10-in-1 25LB/55LB/90LB Ajustable Dumbbells with Safe Locking System, Enclosed Storage Tra... | BDSHE Adjustable Dumbbell Set, 20/33/45/70/90lbs Free Weight Set with Connector, 4 in1 Dumbbells Set Used as Barbell, Kett... | HANDBODE Hex Dumbbell Set, 2.5-65 lb Rubber Encased Exercise & Fitness Dumbbells, Weights Dumbbells Set of 2, Hand Weight ... | EQUIPRO Adjustable Dumbbell Set, 4 in 1 Free Weights Dumbbells Set for Women, Weights for Women at Home, 2lb 3lb 4lb 5lb w... | Adjustable Dumbbell, 20/30/40/60/80lbs Dumbbells Set, 4-in-1 Free Weights for Women/Men Workout Equipment Used as Barbell/... | Marcy Colored Neoprene Dumbbell (Sold in Singles or Set) Hand Weights, Exercise Free Weights for Home Gym | Hezeyferg 30.8LB Adjustable Dumbbell Set, Each Adjustable Weight Dumbbell with 6 Levels 4.4/6.6/8.8/11/13.2/15.4lb, Hand W... | Adjustable Dumbbells Set, 4 in 1 Hand Weights Set for Women Men 10 LB/ 12 LB Dumbbell Pair Each 2lbs 3lbs 4lbs 5lbs Weight... | Yes4All Neoprene Coated Dumbbell Hand Weight Sets of 2 - Multiple Weight Options with 15 Colors, Anti-roll, Anti-Slip, Hex... | YOTTOY Dumbbell Set of 2,2-15 Pound Hand Weights for Women, Non-Slip Hand Weights for Home Gym, Strength Training, and Ful... | Adjustable Dumbbells,20/30/40/60/80lbs Free Weight Set with Connector, 4 in1 Dumbbells Set Used as Barbell/Kettlebells/Pus...",https://html.duckduckgo.com/html/?q=dumbbell (fallback: Google blocked),2026-07-04
dumbbell,2,https://shopee.sg/list/Dumbbell,https://shopee.sg/list/Dumbbell,ok,,,,,,https://html.duckduckgo.com/html/?q=dumbbell (fallback: Google blocked),2026-07-04
dumbbell,3,https://www.walmart.com/browse/sports-outdoors/dumbbells/4125_4134_1026285_1078284_1078285,https://www.walmart.com/browse/sports-outdoors/dumbbells/4125_4134_1026285_1078284_1078285,ok,Dumbbells - Walmart.com,Dumbbells(1000+),,"Shop for Dumbbells in Weights. Buy products such as CAP Barbell Rubber-Coated Hex Dumbbells, Set of 2, CAP Barbell Cast Iron Hex Dumbbell, Single at Walmart and save.","Walmart | Banner title icon | Walmart+ | FitRx Adjustable Dumbbells, 52.5lb SmartBell Dumbbell Set with Quick-Select Weights for Home Gym | Walmart Plus | Reebok Delta Hex Weight - 10lb Pair | Hiaso 25lb 5-in-1 Adjustable Dumbbell with Plates & Rack-Space-Saving Free Weights for Home Gym, Full Body Workout for Women & Men | ARVIVO 2PCS 10-80lb Adjustable Dumbbell Set,5lb Increments & 10lb Handle,Quick-Lock Square Weight Dumbbells for Home Gym | BalanceFrom Rubber Encased Hex Dumbbells, 20 Lbs. Pair | CAP Barbell, 3lb Rubber Hex Dumbbell, Single | CAP, 10lb Neoprene Dumbbell, Red, Single | FitRx 15lbs Rubber Hex Dumbbell Set – Solid Steel Handles, Durable Rubber Coating, Anti-Roll Weights for Fitness, Pair | 10lb Pair, variant on FitRx 15lbs Rubber Hex Dumbbell Set – Solid Steel Handles, Durable Rubber Coating, Anti-Roll Weights for Fitness, Pair | 15lb Pair, variant on FitRx 15lbs Rubber Hex Dumbbell Set – Solid Steel Handles, Durable Rubber Coating, Anti-Roll Weights for Fitness, Pair | 20lb Pair, variant on FitRx 15lbs Rubber Hex Dumbbell Set – Solid Steel Handles, Durable Rubber Coating, Anti-Roll Weights for Fitness, Pair | 25lb Pair, variant on FitRx 15lbs Rubber Hex Dumbbell Set – Solid Steel Handles, Durable Rubber Coating, Anti-Roll Weights for Fitness, Pair | (2 pack) CAP Barbell, 20lb Rubber Hex Dumbbell, Single | Privacy choices icon",https://html.duckduckgo.com/html/?q=dumbbell (fallback: Google blocked),2026-07-04
dumbbell,4,https://www.decathlon.sg/c/fitness-sports/weight-training/dumbbells.html,https://www.decathlon.sg/c/fitness-sports/weight-training/dumbbells.html,ok,Dumbbells | Decathlon Singapore,,,Explore a wide range of dumbbells and various weights for weight training in the gym or at home! Free 2h Click & Collect available. Shop now!,,https://html.duckduckgo.com/html/?q=dumbbell (fallback: Google blocked),2026-07-04
dumbbell,5,https://www.amazon.com/dumbbells-dumbbell-set/b?node=3408401,https://www.amazon.com/dumbbells-dumbbell-set/b?node=3408401,ok,Amazon.com : Exercise & Fitness Dumbbells,,"Skip to | Keyboard shortcuts | 1-24 of 678 results for ""Exercise & Fitness Dumbbells"" | Results | FITPLAM Adjustable dumbbell set,20/35/45/55/70/90lbs Free Weights set with upgraded nut, 5 in 1 Weight Set Used as Kettlebells, Barbell, Push up Stand, Fitness Exercise for Home Gym Suitable Men/Women | More results | Amazon Basics Neoprene Dumbbell Hand Weights for Exercise and Muscle Toning | JLoibao Push Up Board Fitness, Portable Pushup Board for Men, Foldable Push up Bar, Workout Home Gym Equipment, 20 in 1 Exercise Pushup Handles for Floor, Strength Training Equipment for Men | FEIERDUN DS2 Adjustable Dumbbells, 20/30/40/45/70/90lbs Free Weight Set with Connector, 5 in1 Dumbbells Set Used as Barbell, Kettlebells, Push up Stand, Weight Plate, Fitness Exercises for Home Gym Suitable Men/Women | 2026 Upgrade Adjustable Dumbbell Set 25lb/50lb, Small Increment in 3-6lb, 1 Hand Quick-Dial, 10-in-1 Adjustable Dumbbells with Tray, Anti-Slip Grip for Home Gym HIIT Strength Training | Amazon Basics Rubber Hex Dumbbell Hand Weight | Adjustable Dumbbells, 20/30/45/70/90lbs Free Weight Set with Connector,5 in1 Dumbbells Set Used as Barbell,Kettlebells,Push up Stand,Fitness Exercises for Home Gym Suitable Men/Women",,"FITPLAM Adjustable dumbbell set,20/35/45/55/70/90lbs Free Weights set with upgraded nut, 5 in 1 Weight Set Used as Kettleb... | Amazon Basics Neoprene Dumbbell Hand Weights for Exercise and Muscle Toning | JLoibao Push Up Board Fitness, Portable Pushup Board for Men, Foldable Push up Bar, Workout Home Gym Equipment, 20 in 1 Ex... | FEIERDUN DS2 Adjustable Dumbbells, 20/30/40/45/70/90lbs Free Weight Set with Connector, 5 in1 Dumbbells Set Used as Barbel... | 2026 Upgrade Adjustable Dumbbell Set 25lb/50lb, Small Increment in 3-6lb, 1 Hand Quick-Dial, 10-in-1 Adjustable Dumbbells ... | Amazon Basics Rubber Hex Dumbbell Hand Weight | UNNMIIY Adjustable Dumbbells, 20/30/45/70/90lbs Free Weight Set with Connector,5 in1 Dumbbells Set Used as Barbell,Kettleb... | Adjustable Dumbbells,20/30/40/60/80lbs Free Weight Set with Connector, 4 in1 Dumbbells Set Used as Barbell/Kettlebells/Pus... | Amazon Basics Adjustable Dumbbell, 25 lb | Amazon Basics Adjustable Dumbbell Hand Weight Set with Storage Case, Portable, Secure, 38 Pounds, Black | Fit Sir Adjustable Dumbbell Set, 10-in-1 25LB/55LB/90LB Ajustable Dumbbells with Safe Locking System, Enclosed Storage Tra... | EQUIPRO Adjustable Dumbbell Set, 4 in 1 Free Weights Dumbbells Set for Women, Weights for Women at Home, 2lb 3lb 4lb 5lb w... | FEIERDUN DB3 5-in-1 Adjustable Dumbbell Set, 6LB/10LB Pair Adjustable Weights for Women at Home, Dual Locking Stable Hand ... | Ragebby Adjustable Dumbbell Set of 2, Weights for Men and Women at Home, Anti-slip Handle, 3 in 1 Free Weights Dumbbells S... | BCBIG Adjustable-Dumbbells-Sets,Free Weights-Dumbbells Set of 2 Convertible To Barbell A Pair of Lightweight for Home Gym,... | Cvonte Adjustable Dumbbell Set, 20/30/45/70/90lbs Free Weight Set With Double Locknut, 5-in-1 Dumbbells Set Includes Barbe... | Adjustable Dumbbell, 20/30/40/60/80lbs Dumbbells Set, 4-in-1 Free Weights for Women/Men Workout Equipment Used as Barbell/... | Total Body Band, All-in-one Fitness Band, Full Body Exercise Band for Home Exercise or Training on-The-go, Multi-Purpose u... | Ally Peaks | Visit the Renoj",https://html.duckduckgo.com/html/?q=dumbbell (fallback: Google blocked),2026-07-04
dumbbell,6,https://www.nbcnews.com/select/shopping/best-dumbbells-rcna251039,https://www.nbcnews.com/select/shopping/best-dumbbells-rcna251039,ok,"13 Best Dumbbells of 2026, Tested and Reviewed | NBC Select","The 13 best dumbbells for your home workout routine, tested and reviewed",How I picked the best dumbbells | The best dumbbells of 2026 | Amazon Basics Rubber Encased Hex Dumbbell | All in Motion Dumbbell | REP Fitness Rubber Hex Dumbbells | CAP Barbell Coated Dumbbell | Portzon Weights Dumbbells | Amazon Basics Neoprene Dumbbell Hand Weights | Best adjustable dumbbells | NordicTrack Select-A-Weight Dumbbells | PowerBlock PRO EXP Adjustable Dumbbells | The Stakt Weights,"What are the best dumbbells for working out at home? Build your strength and muscle with the best fixed and adjustable weights from brands like PowerBlock, Bowflex, Amazon and more.","Dumbbells can help you get stronger by adding both variety and intensity to weighted exercises, experts say. | Amazon Basics Rubber Encased Hex Dumbbell | All in Motion Dumbbell | REP Fitness Rubber Hex Dumbbells | CAP Barbell Coated Dumbbell | Portzon Weights Dumbbells | Woman holding pink 3-pound dumbbell | Amazon Basics Neoprene Dumbbell Hand Weights | NordicTrack Select-A-Weight Dumbbells | Man holding an adjustable dumbbell | PowerBlock PRO EXP Adjustable Dumbbells | The Stakt Weights | Someone holding a set of Stakt dumbbell weights | Lifepro Adjustable Dumbbells Set | McBig Adjustable Dumbbells | Nuobell 80-Pound Classic Adjustable Dumbbells | Core Home Fitness Adjustable Dumbbell Set | Deal of the Day",https://html.duckduckgo.com/html/?q=dumbbell (fallback: Google blocked),2026-07-04
dumbbell,7,https://www.target.com/c/dumbbells-free-weights-strength-training-equipment-gear-exercise-fitness-sports-outdoors/-/N-txwoc,,ERROR: HTTP Error 429: Unknown Error,,,,,,https://html.duckduckgo.com/html/?q=dumbbell (fallback: Google blocked),2026-07-04
dumbbell,8,https://www.movementfirst.sg/52-dumbbells,https://www.movementfirst.sg/52-dumbbells,ok,Buy high quality Dumbbells in Singapore with quick delivery...,Dumbbells,,Movement First - Buy high quality fitness products from Dumbbells and have your order delivered within 5 working days,Movement First (Singapore) | HexHead Dumbbells | Adjustable Dumbbell 25lb (Quick Change) | Adjustable Dumbbell 25lb (Quick Change) 2 | Plastic Adjustable Dumbbell Set | Plastic Adjustable Dumbbell Set 2 | Dumbbell Olympic Handle (with bearings) | Dumbbell Olympic Handle (with bearings) 2 | Body Balance Bar | Body Balance Bar 2 | Premium Dumbbell Rack (5 pairs) | Premium Dumbbell Rack (5 pairs) 2 | Vertical Dumbbell Rack | Commercial 3 Tier Hexhead... | Commercial 3 Tier Hexhead... 2 | Body Bar Rack | Body Bar Rack 2 | Professional PU Dumbbell with Customized Logo | Professional PU Dumbbell with Customized Logo 2 | Premium Adjustable Dumbbell,https://html.duckduckgo.com/html/?q=dumbbell (fallback: Google blocked),2026-07-04
dumbbell,9,"https://www.flipkart.com/exercise-fitness/fitness-accessories/dumbbells/pr?sid=qoc,acb,zuc",,ERROR: HTTP Error 403: Forbidden,,,,,,https://html.duckduckgo.com/html/?q=dumbbell (fallback: Google blocked),2026-07-04
dumbbell,10,https://barbend.com/best-dumbbells/,https://barbend.com/best-dumbbells/,ok,"The 12 Best Dumbbells of 2026, Tested and Reviewed | BarBend",The 12 Best Dumbbells of 2026,The 12 Best Dumbbells of 2026 | Experts Who Contributed | Best Dumbbells Video Review | Best Dumbbells Overall: REP Fitness Ergo Hex Dumbbells | Most Durable Dumbbells: Snode Sport AD80 Adjustable Dumbbells | Best Adjustable Dumbbells: NÜOBELL Adjustable Dumbbells | Best Heavy Adjustable Dumbbells: REP Fitness REP x Pepin Adjustable Dumbbells | Best Dumbbell for Home: FLYBIRD Fitness 55 LB Adjustable Dumbbell | Best Dumbbell Rack: Rogue Fitness Universal Storage System | Best Rubber Dumbbells: REP Fitness Rubber-Coated Dumbbells | Best Block Dumbbells: PowerBlock Pro 100 EXP Adjustable Dumbbells | Best Hex Dumbbells: Bells of Steel Rubber Hex Dumbbells,The best dumbbells can provide ample versatility and performance when it comes to curating your personal home gym. Here are our favorites.,The BarBend Logo in white. | d68f1ee58b4c384c59fac60a4dd6f4637c21f0d9a1c67ac1629b42c5e99137fd?s=96&d=mm&r=pg | Expert Verified | REP Fitness Ergo Hex Dumbbells | 5-50 Pound Set of REP Fitness Hex Dumbbells | A BarBend tester doing Push-ups with the REP Fitness Hex Dumbbells. | Jake tests the REP Fitness Rubber Hex Dumbbells | Snode Adjustable Dumbbells | Snode Adjustable Dumbbell Cast Iron Weight Plate | BarBend tester trying the Snode dumbbell. | BarBend tester adjusting Snode adjustable dumbbell. | Jake Doing Rows with the Snode Adjustable Dumbbells | Snode Adjustable Dumbbell Knurled Handle | NÜOBELL Adjustable Dumbbells | Removing the NÜOBELL Adjustable Dumbbells from their cradle. | Our BarBend tester using the Nuobell adjustable dumbbells. | SMRTFT Nüobell Adjustable Dumbbell. | NÜOBELL Adjustable Dumbbell Steel Weight Plates | NÜOBELL Adjustable Dumbbell Steel Handle | REP Pepin Fast Series Adjustable Dumbbell,https://html.duckduckgo.com/html/?q=dumbbell (fallback: Google blocked),2026-07-04
weight plates,1,https://www.amazon.com/Weight-Plates/b?node=3408441,https://www.amazon.com/Weight-Plates/b?node=3408441,ok,Amazon.com : Strength Training Plates,,"Skip to | Keyboard shortcuts | 1-24 of 199 results for ""Strength Training Plates"" | Results | CAP Barbell Rubber Olympic Bumper Plate | Multiple Options/Colors | More results | CAP Barbell 2-Inch Olympic Weight Plate | Multiple Options | CAP 2-inch Olympic Bumper Plate Weight Set | 100-370 lbs | Multiple Colors | Storage Rack Optional | RitFit Weight Plates for Barbell, 2-Inch Olympic Rubber Grip Plates for Weightlifting and Strength Training in Home & Gym, Single, Pair and Sets | Amazon Basics 1-Inch Grip Weight Plates, Cast Iron, Strength Training, Home Gym | Global Recycled Standard | Amazon Basics 2-Inch Olympic Grip Weight Plates, Cast Iron, for Powerlifting, CrossFit & Strength Training",,"CAP Barbell Rubber Olympic Bumper Plate | Multiple Options/Colors | CAP Barbell 2-Inch Olympic Weight Plate | Multiple Options | CAP 2-inch Olympic Bumper Plate Weight Set | 100-370 lbs | Multiple Colors | Storage Rack Optional | RitFit Weight Plates for Barbell, 2-Inch Olympic Rubber Grip Plates for Weightlifting and Strength Training in Home & Gym,... | Amazon Basics 1-Inch Grip Weight Plates, Cast Iron, Strength Training, Home Gym | Amazon Basics 2-Inch Olympic Grip Weight Plates, Cast Iron, for Powerlifting, CrossFit & Strength Training | CAP Barbell 2-Inch Olympic Cast Iron Plate Weight Set | 75-285 lbs | Multiple Options | EVERYMATE Change Weight Plates 1.25LB 2.5LB 5LB Set Fractional Plate Olympic Bumper Plates for Cross Training Bumper Weigh... | LIONSCOOL 2-Inch Rubber Olympic Grip Weight Plates for Strength Training, Weightlifting, Solid Cast Iron Plate for Barbell... | Micro Gainz Dumbbell Fractional 1.25lb Weight Plate, Ideal for Micro Loading, (Choose Color) 4 Piece Fractional Weight Pla... | Mikolo Change Weight Plates 1.25LB 2.5LB 5LB Set Fractional Plates Set Bumper Plates for Cross Training Fit 2 Inch Barbell... | Yes4All Standard Weight Plates, 1-Inch Cast Iron Barbell Weights, Wide Range 5–50 LB, Ideal for Strength Training & Workou... | Logest Change Weight Plates 0.50LB 1.25LB 2.5LB 5LB Set Weight Plates for Olympic Bars Perfect for Strength Training Weigh... | Fitvids Olympic Bumper Plates Set, 2"" Weight Plates for Strength Training & Weightlifting, Paris or Set or Set with Barbel... | EVERYMATE Fractional Micro Weight Plates Set of 8 Weight Plate Pair of 0.25LB 0.5LB 0.75LB 1 LB for Olympic Barbells for S... | MICRO GAINZ | North Gym",https://html.duckduckgo.com/html/?q=weight+plates (fallback: Google blocked),2026-07-04
weight plates,2,https://www.dickssportinggoods.com/f/weight-plates,,ERROR: HTTP Error 451: Unavailable For Legal Reasons,,,,,,https://html.duckduckgo.com/html/?q=weight+plates (fallback: Google blocked),2026-07-04
